date,comp,round,venue,result,gf,ga,opponent,xg,xga,poss,sh,sot,fk,pk,pkatt,team
2023-11-30,Europa Lg,Group stage,Away,W,2.0,0.0,se Häcken,1.7,1.3,57.0,10.0,5.0,0.0,0,0,Bayer Leverkusen
2023-12-03,Bundesliga,Matchweek 13,Home,D,1.0,1.0,Dortmund,2.1,0.7,69.0,23.0,6.0,1.0,0,0,Bayer Leverkusen
2023-12-06,DFB-Pokal,Round of 16,Home,W,3.0,1.0,Paderborn 07,,,65.0,15.0,8.0,,0,0,Bayer Leverkusen
2023-12-10,Bundesliga,Matchweek 14,Away,D,1.0,1.0,Stuttgart,1.3,2.6,48.0,18.0,5.0,0.0,0,0,Bayer Leverkusen
2023-12-14,Europa Lg,Group stage,Home,W,5.0,1.0,no Molde,1.6,0.5,67.0,20.0,9.0,1.0,0,0,Bayer Leverkusen
2023-12-17,Bundesliga,Matchweek 15,Home,W,3.0,0.0,Eint Frankfurt,2.5,0.2,61.0,14.0,5.0,1.0,0,0,Bayer Leverkusen
2023-12-20,Bundesliga,Matchweek 16,Home,W,4.0,0.0,Bochum,3.3,0.4,69.0,15.0,7.0,0.0,1,1,Bayer Leverkusen
2024-01-13,Bundesliga,Matchweek 17,Away,W,1.0,0.0,Augsburg,2.0,0.4,76.0,24.0,6.0,0.0,0,0,Bayer Leverkusen
2024-01-20,Bundesliga,Matchweek 18,Away,W,3.0,2.0,RB Leipzig,2.0,1.6,60.0,18.0,5.0,0.0,0,0,Bayer Leverkusen
2024-01-27,Bundesliga,Matchweek 19,Home,D,0.0,0.0,Gladbach,2.9,0.3,75.0,28.0,9.0,0.0,0,0,Bayer Leverkusen
2024-02-03,Bundesliga,Matchweek 20,Away,W,2.0,0.0,Darmstadt 98,1.9,0.6,67.0,20.0,7.0,0.0,0,0,Bayer Leverkusen
2024-02-06,DFB-Pokal,Quarter-finals,Home,W,3.0,2.0,Stuttgart,,,56.0,16.0,6.0,,0,0,Bayer Leverkusen
2024-02-10,Bundesliga,Matchweek 21,Home,W,3.0,0.0,Bayern Munich,1.3,0.6,39.0,14.0,8.0,0.0,0,0,Bayer Leverkusen
2024-02-17,Bundesliga,Matchweek 22,Away,W,2.0,1.0,Heidenheim,1.9,0.4,61.0,18.0,3.0,0.0,0,0,Bayer Leverkusen
